"id","sender_id","type_name","timestamp","intent_name","action_name","data"
30,"ff9460e452af4b3281b30ef9e44d3d5e","slot","1692083166.711643",NULL,"likes_music","{""event"": ""slot"", ""timestamp"": 1692083166.711643, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""likes_music"", ""value"": true}"
31,"ff9460e452af4b3281b30ef9e44d3d5e","action","1692083166.717151",NULL,"utter_awesome","{""event"": ""action"", ""timestamp"": 1692083166.717151, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""utter_awesome"", ""policy"": ""MemoizationPolicy"", ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
32,"ff9460e452af4b3281b30ef9e44d3d5e","bot","1692083166.7171872",NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1692083166.7171872, ""metadata"": {""utter_action"": ""utter_awesome"", ""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""Awesome! You can ask me things like \""Find me some concerts\"" or \""What's a good venue\"""", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
34,"ff9460e452af4b3281b30ef9e44d3d5e","user","1692083181.57911","search_concerts",NULL,"{""event"": ""user"", ""timestamp"": 1692083181.57911, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""Find me some concerts"", ""parse_data"": {""intent"": {""name"": ""search_concerts"", ""confidence"": 0.995614767074585}, ""entities"": [], ""text"": ""Find me some concerts"", ""message_id"": ""a764a1771aba44b0bbe6c64b90fee06a"", ""metadata"": {}, ""text_tokens"": [[0, 4], [5, 7], [8, 12], [13, 21]], ""intent_ranking"": [{""name"": ""search_concerts"", ""confidence"": 0.995614767074585}, {""name"": ""search_venues"", ""confidence"": 0.002188681857660413}, {""name"": ""deny"", ""confidence"": 0.0009422345319762826}, {""name"": ""goodbye"", ""confidence"": 0.0005774671444669366}, {""name"": ""affirm"", ""confidence"": 0.00027563594630919397}, {""name"": ""compare_reviews"", ""confidence"": 0.0002722963981796056}, {""name"": ""how_to_get_started"", ""confidence"": 0.0001026151585392654}, {""name"": ""thankyou"", ""confidence"": 1.8395885490463115e-05}, {""name"": ""greet"", ""confidence"": 7.873214599385392e-06}]}, ""input_channel"": ""cmdline"", ""message_id"": ""a764a1771aba44b0bbe6c64b90fee06a""}"
35,"ff9460e452af4b3281b30ef9e44d3d5e","user_featurization","1692083181.625094",NULL,NULL,"{""event"": ""user_featurization"", ""timestamp"": 1692083181.625094, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""use_text_for_featurization"": false}"
36,"ff9460e452af4b3281b30ef9e44d3d5e","action","1692083181.625111",NULL,"action_search_concerts","{""event"": ""action"", ""timestamp"": 1692083181.625111, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_search_concerts"", ""policy"": ""TEDPolicy"", ""confidence"": 0.9988277554512024, ""action_text"": null, ""hide_rule_turn"": false}"
37,"ff9460e452af4b3281b30ef9e44d3d5e","bot","1692083181.6251662",NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1692083181.6251662, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""Foo Fighters, Katy Perry"", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
38,"ff9460e452af4b3281b30ef9e44d3d5e","slot","1692083181.6251688",NULL,"concerts","{""event"": ""slot"", ""timestamp"": 1692083181.6251688, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""concerts"", ""value"": [{""artist"": ""Foo Fighters"", ""reviews"": 4.5}, {""artist"": ""Katy Perry"", ""reviews"": 5.0}]}"
39,"ff9460e452af4b3281b30ef9e44d3d5e","action","1692083181.6313002",NULL,"action_listen","{""event"": ""action"", ""timestamp"": 1692083181.6313002, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_listen"", ""policy"": ""TEDPolicy"", ""confidence"": 0.9997274279594421, ""action_text"": null, ""hide_rule_turn"": false}"
40,"ff9460e452af4b3281b30ef9e44d3d5e","user","1692083195.025998","search_venues",NULL,"{""event"": ""user"", ""timestamp"": 1692083195.025998, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""What's a good venue"", ""parse_data"": {""intent"": {""name"": ""search_venues"", ""confidence"": 0.5166576504707336}, ""entities"": [], ""text"": ""What's a good venue"", ""message_id"": ""0e0b06e22500414a83b3bebb87b8e3df"", ""metadata"": {}, ""text_tokens"": [[0, 4], [5, 6], [7, 8], [9, 13], [14, 19]], ""intent_ranking"": [{""name"": ""search_venues"", ""confidence"": 0.5166576504707336}, {""name"": ""compare_reviews"", ""confidence"": 0.13449566066265106}, {""name"": ""greet"", ""confidence"": 0.10455422848463058}, {""name"": ""how_to_get_started"", ""confidence"": 0.08196273446083069}, {""name"": ""goodbye"", ""confidence"": 0.051727473735809326}, {""name"": ""affirm"", ""confidence"": 0.043656282126903534}, {""name"": ""thankyou"", ""confidence"": 0.03513296693563461}, {""name"": ""search_concerts"", ""confidence"": 0.0220646895468235}, {""name"": ""deny"", ""confidence"": 0.009748350828886032}]}, ""input_channel"": ""cmdline"", ""message_id"": ""0e0b06e22500414a83b3bebb87b8e3df""}"
41,"ff9460e452af4b3281b30ef9e44d3d5e","user_featurization","1692083195.06992",NULL,NULL,"{""event"": ""user_featurization"", ""timestamp"": 1692083195.06992, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""use_text_for_featurization"": false}"
42,"ff9460e452af4b3281b30ef9e44d3d5e","action","1692083195.069936",NULL,"action_search_venues","{""event"": ""action"", ""timestamp"": 1692083195.069936, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_search_venues"", ""policy"": ""TEDPolicy"", ""confidence"": 0.9987758994102478, ""action_text"": null, ""hide_rule_turn"": false}"
43,"ff9460e452af4b3281b30ef9e44d3d5e","bot","1692083195.070005",NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1692083195.070005, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""here are some venues I found"", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
44,"ff9460e452af4b3281b30ef9e44d3d5e","bot","1692083195.070009",NULL,NULL,"{""event"": ""bot"", ""timestamp"": 1692083195.070009, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""text"": ""Big Arena, Rock Cellar"", ""data"": {""elements"": null, ""quick_replies"": null, ""buttons"": null, ""attachment"": null, ""image"": null, ""custom"": null}}"
45,"ff9460e452af4b3281b30ef9e44d3d5e","slot","1692083195.0700102",NULL,"venues","{""event"": ""slot"", ""timestamp"": 1692083195.0700102, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""venues"", ""value"": [{""name"": ""Big Arena"", ""reviews"": 4.5}, {""name"": ""Rock Cellar"", ""reviews"": 5.0}]}"
46,"ff9460e452af4b3281b30ef9e44d3d5e","action","1692083195.076333",NULL,"action_listen","{""event"": ""action"", ""timestamp"": 1692083195.076333, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_listen"", ""policy"": ""TEDPolicy"", ""confidence"": 0.999863862991333, ""action_text"": null, ""hide_rule_turn"": false}"
47,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084753.5319831",NULL,"action_session_start","{""event"": ""action"", ""timestamp"": 1692084753.5319831, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_session_start"", ""policy"": null, ""confidence"": 1.0, ""action_text"": null, ""hide_rule_turn"": false}"
48,"d45ccb3c39f34755bed2f8533553f6ef","session_started","1692084753.53206",NULL,NULL,"{""event"": ""session_started"", ""timestamp"": 1692084753.53206, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}}"
49,"d45ccb3c39f34755bed2f8533553f6ef","action","1692084753.532083",NULL,"action_listen","{""event"": ""action"", ""timestamp"": 1692084753.532083, ""metadata"": {""model_id"": ""773eff74544b45e495973f476206cc1b"", ""assistant_id"": ""concert_bot""}, ""name"": ""action_listen"", ""policy"": null, ""confidence"": null, ""action_text"": null, ""hide_rule_turn"": false}"
